Title,Summary,URL,Interesting
US heads towards likely government shutdown,Lawmakers face a deadline of midnight on Saturday to pass a new budget and avoid a shutdown.,/news/world-us-canada-66947095,1
Ex-gang leader charged with Tupac murder in 1996,"Duane ""Keffe D"" Davis is accused of planning the rapper's shooting after decades of mystery.",/news/entertainment-arts-66965766,0
BBC reporter: My heart aches as I return to Sudan,The BBC's Mohamed Osman writes about his emotional return after war forced him to flee.,/news/world-africa-66942430,0
Catastrophic floods devastate Greece's farmers,"Greek farmers fear for the future as crops, orchards and herds of animals were lost in Storm Daniel.",/news/world-europe-66938011,1
India's unforgettable highs and lows in World Cup cricket,The country had some magical moments but also many heartbreaks in World Cup cricket in over 48 years.,/news/world-asia-india-66740862,0
Can New York make basements units safe from floods?,"About 100,000 New Yorkers live in basement homes that climate change has remade into ""death traps"".",/news/world-us-canada-66965215,1
US urges Serbia to pull troops from Kosovo border,"In response to the ""current situation"", the UK sends troops to join Nato peacekeepers Kfor in Kosovo.",/news/world-europe-66968021,1
Conservatorship ends for Blind Side's Michael Oher,The 2004 agreement gave Sean and Leigh Anne Tuohy legal control over the ex-NFL player's finances.,/news/world-us-canada-66966771,0
The rise and fall of Evergrande's billionaire founder,"Hui Ka Yan, the founder of a crisis-hit Chinese property giant, is under police surveillance.",/news/business-66540794,0
Nurse returns home after helping earthquake victims,Sarah McBride travelled to Morocco to help those in dire need after the devastating earthquake.,/news/uk-england-hampshire-66964034,0
Two men charged over cocaine seizure off Cork coast,The seizure of €150m of cocaine was described by Gardaí as the largest in the history of the State.,/news/articles/cx94ln4g2lyo,0
More than 50 die in Pakistan's Balochistan blast,The blast happened near a mosque as people gathered to celebrate the birth of Prophet Muhammad.,/news/world-asia-66956626,0
Car workers strike escalates as enters third week,"The United Auto Workers union said 7,000 more members would walk out.",/news/business-66964134,1
Gymnastics racism apology delay a 'real shame' - Irish PM,"Leo Varadkar says there is ""no place for racism in sport"" after viral gymnast video controversy.",/news/articles/ckv0d0z1ygpo,0
Woman dies in 'violent incident' in County Offaly,Police say images of the attack are circulating and ask the public not to share them.,/news/articles/c03dzd220y8o,0
Swedish army to aid police after gang killing surge,"The military will provide help with analysis, logistics and explosives handling, the PM says.",/news/world-europe-66964723,0
What happens in a US government shutdown?,The US is days away from a shutdown. Here's a summary of why it's happening and what to expect.,/news/world-us-canada-46927916,1
Rotterdam victim had reported suspect to police,"The woman had complained about her neighbour and prosecutors warned of the suspect's ""psychotic behaviour"".",/news/world-europe-66958337,0
'Pioneering' Senator Dianne Feinstein dies aged 90,The Californian served for more than three decades and broke new ground for women in US politics.,/news/world-us-canada-66963341,0
Is this a spiritual leader taming lions?,"The viral video has spread to many countries in Africa, but does not show a church pastor taming lions.",/news/world-africa-66963780,0
Man raises funds to send fire engine to Ukraine,Bob Frendt from Knaresborough buys an emergency vehicle for a city left without fire engines.,/news/uk-england-york-north-yorkshire-66961684,1
Putin meets former Wagner commander Troshev,"The Kremlin says Andrei Troshev, ex-aide to Yevgeny Prigozhin, now works for the defence ministry.",/news/world-europe-66957307,1
Congress mourns 'trailblazer' Dianne Feinstein,The California politician has died aged 90 and was the longest serving female senator in US history.,/news/live/world-us-canada-66963274,0
Death toll in Karabakh fuel depot blast jumps to 170,The sharp rise comers as more than two-thirds of the region's ethnic Armenians have left for Armenia.,/news/world-europe-66958338,0
US teen dies from lightning strike while hunting,"Baylee Holbrook, 16, and her father were struck in a Florida thunderstorm and she died two days later.",/news/world-us-canada-66953581,0
Hundreds of jihadists kill soldiers in Niger raid,Jihadist attacks have intensified across Niger since the military seized power in July.,/news/world-africa-66956989,1
Hurling star DJ Carey accused of cancer cash fraud,DJ Carey is accused of inducing people to pay him money after fraudulently claiming to have cancer.,/news/articles/c72l9v5nw38o,0
The election in a kingdom where parties are banned,"Voting is under way in Eswatini, but in Africa's last absolute monarchy, MPs have little power.",/news/world-africa-66958507,1
War in maps: Ukraine widening Russia defences breach,Analysts say armoured vehicles have been confirmed beyond Russia's first defensive lines for the first time.,/news/world-europe-60506682,1
Nicole Thea's husband 'saving lives in her name',"Global Boga says he’s ""back and stronger"" after launching a foundation in his late wife's name.",/news/newsbeat-66948742,0
Philippines' Marcos defends removing Chinese buoys,President says Manila's defence of its territory does not mean it is 'looking for trouble'.,/news/world-asia-66956776,1
Family finds Viking relics during earring search,A family in Norway found the ancient artefacts while searching for an earring with a metal detector.,/news/world-europe-66957309,0
Uzbekistan ex-leader's daughter 'ran crime network',Switzerland seizes $857m of assets as the daughter of Uzbekistan's ex-leader is charged with fraud.,/news/world-europe-66958727,0
Anxious Chinese home buyers reel from Evergrande crisis,"As China's housing crisis grows, so have fears that dreams of home ownership have been bulldozed.",/news/world-asia-china-66956769,1
Convictions in 30-year-old India mass rapes upheld,"Chennai high court rejected the appeal of 215 convicts, including police, forest and revenue officials.",/news/world-asia-india-65248208,0
Trudeau says Canada-India ties important despite row,His remarks come in the wake of Canada's detriorating diplomatic relations with India.,/news/world-asia-india-66956827,1
India outrage as raped girl walks around seeking help,CCTV footage of a young girl walking around a street reportedly asking for help surfaced online this week.,/news/world-asia-india-66942399,0
What China's economic problems mean for the world,Problems faced by the world's second-largest economy include a property market crisis and slow growth.,/news/business-66840367,1
Europe's oldest shoe found in Spanish bat cave,"The 6,000-year-old woven sandals are among dozens of prehistoric objects being analysed by scientists.",/news/world-europe-66956483,0
Why should I care if Evergrande collapses?,There are reports the leaders of the heavily indebted Chinese property giant have been detained.,/news/business-58579833,1
Suspect arrested in killing of Baltimore tech CEO,Police say there was no forced entry into Pava LaPere's flat before she was killed on Friday night.,/news/world-us-canada-66951410,0
Republicans lay out case at Biden impeachment inquiry,"Witnesses, called by Republicans, cautioned that evidence is lacking for impeaching the president.",/news/world-us-canada-66954626,1
US offers $5m reward in hunt for Ecuador assassins,The US wants to find those behind the killing of presidential candidate Fernando Villavicencio last month.,/news/world-us-canada-66956045,1
Why India's fast bowling stars could win the World Cup,"Many see the World Cup as a battle between pace attacks. In that case, India hold their own comfortably.",/news/world-asia-india-66892879,0
Canada Nazi row puts spotlight on Ukraine's WWII past,"For decades, Jewish groups have criticised monuments that celebrate Ukrainian veterans in Canada.",/news/world-us-canada-66914756,1
Canadian premier vows to veto gender policy ruling,A judge has paused a Saskatchewan policy requiring parental consent if a young student changes pronouns.,/news/world-us-canada-66956226,0
Travis King undergoing health examinations in Texas,The American soldier had illegally crossed into North Korea in July and had been held there since.,/news/world-us-canada-66946434,1
Sweden summons army chief after surge in gang killings,"Ulf Kristersson says ""everything is on the table"" after three people are killed in 12 hours.",/news/world-europe-66952421,0
Gunman kills three in twin Rotterdam shootings,A 14-year-old girl and her mother are among the victims after attacks in two locations in the Dutch city.,/news/world-europe-66954233,0
FBI charge man with sending 150 hoax bomb threats,Prosecutors say the Peruvian man was retaliating against minors who refused to send explicit pictures.,/news/world-us-canada-66955698,0
Driver rescued from floods during Storm Agnes,"A woman is treated in hospital, as Storm Agnes brings heavy rain and strong winds to Northern Ireland.",/news/uk-northern-ireland-66933465,0
Women found in lorry in France face deportation,Six women were rescued from a lorry on Wednesday after a BBC journalist helped alert French police.,/news/world-europe-66953878,0
Family in gymnast racism row say apology 'useless',"The mother of a black girl not given a medal at a gymnastics event said officials showed ""no empathy"".",/news/world-europe-66937302,0
Eight things presidential candidate Ramaswamy believes,"The Republican candidate for president, 38, has suggested abolishing the FBI and raising the voting age.",/news/world-us-canada-66603166,1
Evergrande chairman put under police surveillance,"The stricken Chinese property giant said Hui Ka Yan was under suspicion of ""illegal crimes"".",/news/business-66932548,1
"Ireland 'no soft touch' on drugs, says minister",A seventh person has been arrested after the largest drug seizure in the history of the Irish state.,/news/articles/cqq7rr4y92no,0
The glitzy New York buildings that Trump could lose,A ruling from a New York judge has thrown the fate of Donald Trump's property empire into question.,/news/world-us-canada-66949606,0
What we know about wedding blaze in Iraq's Qaraqosh,Almost 100 people have been killed by a blaze that swept through a wedding party in Qaraqosh.,/news/world-middle-east-66937280,0
Inside the Australian magpie’s annual reign of terror,"Each spring, magpies swoop on countless unsuspecting victims while defending their nests.",/news/world-australia-66920781,0
Biggest moments from second Republican debate,"As Donald Trump stayed away, there was a whiff of desperation from his rivals in a chaotic showdown.",/news/world-us-canada-66944113,1
Republicans holding first Biden impeachment hearing,"The inquiry, which will focus on unsubstantiated allegations of abuse of power, is a divisive one.",/news/world-us-canada-66944114,1
Former Belarus 'hit squad member' found not guilty,Yury Garavsky is acquitted of involvement in the forced disappearance of three opposition figures in 1999.,/news/world-europe-66947524,0
Swiss glaciers get 10% smaller in two years,The ice fields have lost as much volume in two years as they did in three decades from 1960 to 1990.,/news/world-europe-66950328,0
Gaza tensions 'boiling' as workers hit by border closures,Pressure builds as Israeli closures over border violence hit Palestinian workers.,/news/world-middle-east-66950112,1
Can Kenya's police defeat Haiti's fearsome gangs?,"The East African nation has pledged 1,000 officers but many question their suitability.",/news/world-africa-66946156,0
Explained: The conflict in Nagorno-Karabakh,The region is at the heart of a long-running conflict between ethnic Armenians and Azerbaijanis.,/news/world-europe-66852070,1
Burkina Faso junta says it foiled coup attempt,It is just less than a year since Capt Ibrahim Traoré seized power during the second coup of 2022.,/news/world-africa-66945023,1
"Nagorno-Karabakh will cease to exist, says leader",The head of the ethnic Armenian enclave formally ends its struggle for independence.,/news/world-europe-66945481,1
Taiwan unveils new submarine to fend off China,"Named after a mythical massive fish, the Haikun is Taiwan's first domestically made submarine.",/news/world-asia-66932808,1
"Nearly 1,000 people die of dengue in Bangladesh",Worst outbreak on record is blamed on wet weather allowing virus-carrying mosquitoes to spread.,/news/world-asia-66944315,0
'It was like Hell's doors opened',Survivors of the inferno which killed nearly 100 people describe what happened as the fire took hold.,/news/world-middle-east-66896460,0
Vietnam jails fifth climate activist on tax charges,Rights groups say it's part of a worrying trend aimed at silencing criticism of climate policies.,/news/world-asia-66940762,0
How distressed call to BBC helped rescue of six women trapped in lorry,"A woman spoke to us from inside the refrigerated lorry in France, saying they were struggling to breathe.",/news/world-asia-66943779,0
Republicans step up Trump attacks in second debate,Seven Republican rivals brawled in Donald Trump's absence - but none seized momentum by night's end.,/news/world-us-canada-66943323,0
Russians queue up to see Barbie despite sanctions,"Moscow's culture ministry says Barbie is ""not in line"" with Russian values. Cinemagoers don't seem to mind.",/news/world-europe-66934838,1
Brit arrested in Portugal after party stabbing death,Police said a 27-year-old was detained after killing another man in the central town of Soalheira.,/news/uk-66943495,0
Test cricketer cleared of stealthing rape in Sydney,Batter Danushka Gunathilaka was accused of assaulting a Sydney woman at her home after a Tinder date.,/news/world-australia-66920784,0
Drag Race UK queens on being accepted in Britain,Two queens from RuPaul's latest line-up describe growing up in Poland and the United States.,/news/newsbeat-66933535,0
The man who buys people out of prison,A Nazi-era law in Germany jails those who can't pay public transport fares. Arne buys their freedom.,/news/world-europe-66664823,0
Judge rejects Trump's bid to oust her from DC trial,Judge Tanya Chutkan is overseeing the 2020 federal elections case brought by special counsel Jack Smith.,/news/world-us-canada-66944041,1
Who won the Republican debate? Inside the spin room,"Presidential hopefuls have battled in a chaotic and fiery two-hour debate, so who came out on top?",/news/live/world-us-canada-66917041,0
A QAnon 'queen' and the town that wants her gone,Romana Didulo and her band of followers have hunkered down in a rural Canadian village.,/news/world-us-canada-66930536,0
Trudeau apologises for Nazi in parliament debacle,"The prime minister says it was a mistake that ""deeply embarrassed parliament and Canada"".",/news/world-us-canada-66943005,1
Largest ever Irish drug seizure after ship raided,Irish authorities say that more than €150m of suspected cocaine has been seized from a cargo ship.,/news/articles/clm0l4zkp8eo,0
Irish police vote to withdraw services in rota row,"The Garda (Irish police) Commissioner Drew Harris has been accused of ""blind inaction"" over a dispute about rotas.",/news/articles/cw039wk6654o,1
Around 100 killed in Iraq wedding blaze tragedy,Witnesses and officials say the fire was sparked by fireworks set off inside the hall in Qaraqosh.,/news/world-middle-east-66932327,0
Armenians rush to help Karabakh ‘brothers and sisters’,"Every hour, the number of people fleeing Nagorno-Karabakh climbs even further.",/news/world-europe-66937303,1
Travis King in US custody after North Korea expulsion,The 23-year-old soldier was transferred into US custody in China after being deported from North Korea.,/news/world-us-canada-66939470,1
Five things we learned from latest Trump aide book,Cassidy Hutchinson book alleges sexual assault at a rally and burning of documents in the White House.,/news/world-us-canada-66932585,0
Deadly floods devastate South Africa's Western Cape,The authorities say at least 11 people have died as floodwaters submerge parts of the province.,/news/world-africa-66932959,1
NFL's Kelce breaks silence on 'amazing' Taylor Swift,"The sports star says his rumoured love interest's appearance at his game on Sunday was ""awesome"".",/news/world-us-canada-66940478,0
Senator pleads not guilty as FBI probes Egypt ties,"Robert Menendez is accused of accepting bribes to help Egypt's government, and business associates.",/news/world-us-canada-66940650,1
Travis King's desertion and deportation: What we know,The soldier who crossed the border from South Korea was reportedly facing disciplinary action.,/news/world-asia-66240928,1
What to expect from the second Republican debate,"Seven candidates will battle it out in California, with frontrunner Donald Trump absent again.",/news/world-us-canada-66917196,0
How to negotiate with world's most secretive country,A US soldier's release from North Korea highlights the tricky relationship between the two nations.,/news/world-us-canada-66296792,1
Azerbaijan arrests former Nagorno-Karabakh leader,Ruben Vardanyan is detained while attempting to enter Armenia after Baku's offensive last week.,/news/world-europe-66934776,1
North Korea to deport US soldier Travis King,The 23-year-old ran across the border from South Korea during a tour of the area in July.,/news/world-asia-66936277,0
Germany bans neo-Nazi sect targeting children,"The authorities say Artgemeinschaft used Nazi-era books ""to raise new enemies of the constitution"".",/news/world-europe-66934411,0
Mutilated bodies dumped in Mexico's business capital,The remains of a dozen people are found strewn across the northern Mexican city of Monterrey.,/news/world-latin-america-66911902,0
Man who faked kidnapping ordered to compensate police,The Australian came up with the plot to spend New Year's Eve with another woman instead of his partner.,/news/world-australia-66934775,0
Man killed in van crash on first day at university,"International student Juan Lima, 18, who was born in Cuba, was starting at the University of Liverpool.",/news/uk-england-merseyside-66933706,0
Three arrested after Irish armed forces storm cargo ship,"A ""significant quantity"" of controlled drugs were found onboard the Panamanian registered ship.",/news/articles/c51lp9wj8wqo,0
Russian video 'shows fleet commander alive',"Ukraine is ""clarifying"" its recent reports that Russia's Admiral Sokolov died in a missile attack on Friday.",/news/world-europe-66926400,1
"Trump committed fraud in New York, judge finds",The former president was accused of overvaluing his net worth by as much as $ 2.2bn.,/news/world-us-canada-66931855,0
India asks Canada for evidence on Sikh murder,"Foreign Minister S Jaishankar said India was open to looking into any ""specific"" details on the killing.",/news/world-asia-india-66921175,1
"'I thought this is it, they are going to shoot us'","A former member of BA's cabin crew tells her story of being used as a ""human shield"".",/news/uk-england-beds-bucks-herts-66807594,0
Could cannabis help with Ukraine's veteran crisis?,Ukraine is battling a colossal PTSD crisis and wants to try anything to help - including cannabis.,/news/world-europe-66877717,0
More than 100 killed in wedding fire in northern Iraq,More than 150 people were also injured at a wedding in the northern Nineveh province after fireworks were lit.,/news/live/world-middle-east-66932750,0
Assault trial begins for ex-fashion mogul Nygard,He is also set to be extradited to the US to face charges there once his Canada cases end.,/news/world-us-canada-66932067,0
Kevin McCarthy's job on the line as shutdown looms,"With just days to go before a government shutdown, Speaker McCarthy has a choice to make.",/news/world-us-canada-66928375,1
'My dream was to wear whatever I wanted',"Three Muslim women share their stories of removing their hijabs, despite facing fierce opposition.",/news/world-middle-east-66922061,0
Young people sue 32 countries over climate change,They claim governments' slow action on climate change violates their human rights.,/news/world-europe-66923590,0
'They bombed everywhere': Survivors recount Karabakh attack,"Survivors in a remote village say three children and two adults were killed, including two boys from one family.",/news/world-europe-66925791,0
Air India 1985 bombing back in news after Canada row,"In 1985, an Air India flight exploded mid-air, killing all 329 people on board - only one man was convicted.",/news/world-asia-india-66909820,1
Biden dog bites another Secret Service agent,This is the 11th time Commander has bitten a guard at the White House or the Biden family home.,/news/world-us-canada-66932087,0
Canada's Speaker quits after Nazi in parliament row,"Anthony Rota resigns after praising a 98-year-old Ukrainian who fought for a Nazi unit as a ""war hero"".",/news/world-us-canada-66930482,1
The election with India and China on the ballot,The Maldives presidential election will also decide who gets the advantage in the strategically located islands.,/news/world-asia-66909240,1
RAF Typhoon fighter jets land on road in exercise,The jets from RAF Coningsby were taking part in a drill to see if they could outmanoeuvre an enemy.,/news/uk-england-lincolnshire-66931523,1
Five alleged Russian spies appear in London court,Five Bulgarians were charged after a UK counter-terror investigation uncovered an alleged Russian spy ring.,/news/uk-66923824,1
Third of Karabakh's ethnic Armenians flee,The exodus comes as the Armenian prime minister warns of ethnic cleansing in the region.,/news/world-europe-66931178,1
Biden makes history by joining US picket line,"Mr Biden joins striking workers in Michigan, telling them they ""deserve"" wage raises and concessions.",/news/world-us-canada-66926060,1
"Disinformation most active on X, EU says",A European Commission report says the network has the most disinformation of six large social networks.,/news/technology-66926080,1
Fact-checking Trump claim that wind turbines kill whales,The former president blamed wind farms for a spike in whale deaths - but his claims don't stand up.,/news/world-us-canada-66928305,0
Fuel depot blast kills 20 as thousands flee Karabakh,Officials say 290 people have been taken to hospital with dozens in a critical condition.,/news/world-europe-66921557,0
Two French supermarkets to sell fuel at cost price,Carrefour and E.Leclerc are holding down the price of petrol and diesel to help people cope with inflation.,/news/business-66927116,0
Shakira accused of tax crimes for the second time,Spanish prosecutors claim the singer has defrauded the state of more than €6m.,/news/world-europe-66927909,0
NCIS and Man from U.N.C.L.E. actor McCallum dies,David McCallum found fame in the 1960s before later playing a pathologist on NCIS for 20 years.,/news/world-us-canada-66919863,0
Landmark Saudi and Israeli trips as talks progress,"Hours after a Saudi envoy visits the West Bank, an Israeli minister attends a UN event in Riyadh.",/news/world-middle-east-66922062,1
Viral Taylor Swift clip leads to 'crazy 24 hours',A journalist spotted the superstar leaving an American football game with one of the sport's top players.,/news/world-us-canada-66917895,0
What to know about Hunter Biden's legal troubles,A five-year probe into the US president's son looked set to end. Now Hunter Biden has been indicted.,/news/world-us-canada-66516294,1
Grieving son calls for assisted dying law change,James Johnson says his terminally ill mother used her life savings to die alone at a Swiss clinic.,/news/uk-england-hampshire-66913696,0
'France takes us for idiots' - Inside coup-hit Niger,The BBC gains access to the West African country which is among the world's most deadly for jihadist attacks.,/news/world-africa-66922754,1
Man bailed after boy's death in Donegal crash,"Serge Kelly is facing charges over a hit-and-run collision in which Ronan Wilson, 9, died.",/news/uk-northern-ireland-66923495,0
Braverman's refugee speech sparks UN human rights criticism,"In a US speech, the home secretary attacks how the West has approached migration and how asylum seekers are defined.",/news/live/uk-politics-66922119,1
Rain warning upgraded in some areas by Met Éireann,The are warnings by Met Éireann and the Met Office for the Republic of Ireland and Northern Ireland.,/news/uk-northern-ireland-66921514,0
Praise for first South African festival on island,A festival celebrating South African culture is praised for its 'togetherness' by a business group.,/news/world-europe-isle-of-man-66918572,0
Manhunt for Venezuelan gang boss who ran luxury jail,Héctor Guerrero Flores escaped shortly before the jail which he controlled was raided by police.,/news/world-latin-america-66922730,0
Tickets from night of Lincoln assassination sold,The US president was shot and killed in the presidential box of Ford's Theatre during a performance.,/news/world-us-canada-66923246,0
Nelson Mandela's granddaughter Zoleka dies at 43,She was well known for detailing her cancer treatment and being open about her past drug addiction.,/news/world-africa-66921654,0
Grandmaster denies using sex toy to cheat in chess,Hans Niemann was accused of cheating after he beat Norwegian grandmaster Magnus Carlsen last September.,/news/world-us-canada-66921563,0
What was the Ukraine grain deal?,Ukraine is finding new ways to export its grain after Russia ended a deal for a Black Sea safe route,/news/world-61759692,1
Thailand jails lawyer who called for royal reform,Arnon Nampa is sentenced to four years for calling for a conversation on the role of Thailand's monarchy.,/news/world-asia-66920855,1
Captain jailed after fatal river tour boat crash,Twenty-five South Korean tourists died after a boat sank during a rainstorm on the River Danube.,/news/world-europe-66921562,0
Iran denies medical negligence over prisoner death,Iranian authorities rejects claims that Faramarz Javidzad's death was due to a lack of medical care.,/news/world-middle-east-66913006,0
Evergrande shares slip as division misses payment,The property giant defaults while reports suggest executives have been detained by authorities.,/news/business-66920878,1
Tributes to retired teacher killed in earthquake,Liverpool-born David Barden died when his hotel collapsed in the 6.8-magnitude quake in Morocco.,/news/uk-england-merseyside-66895665,0
Humans of New York wades into India copyright row,"Humans of Bombay, which follows the same format as the New York blog, is suing a similar Indian platform.",/news/world-asia-india-66877898,0
British croc expert admits to sexually abusing dogs,Adam Britton has pleaded guilty to 60 charges involving bestiality and child abuse material in Australia.,/news/world-australia-66920778,0
Thousands flee Karabakh over ethnic cleansing fear,"More than 6,500 people have so far crossed into Armenia from the enclave Nagorno-Karabakh.",/news/world-europe-66905581,1
Russia seeks to rejoin UN's human rights council,It was expelled from the United Nations council last year after its forces invaded Ukraine.,/news/world-europe-66919358,1
Fox announces DeSantis v Newsom governor debate,"The ""red v blue state"" debate between the governors of Florida and California will be in November.",/news/world-us-canada-66917197,0
Third arrest made in fentanyl nursery child death,Toddler Nicholas Dominici died earlier this month after being exposed to fentanyl at his nursery.,/news/world-us-canada-66920181,0
The WW2 commandos who bombed Singapore,"In 1943, Operation Jaywick sent 14 men from Australia on a mission to sink Japanese ships in Singapore.",/news/world-asia-65108315,1
India row after LGBTQ couple marry in Sikh temple,"The marriage was solemnised by a priest in Punjab, with the couple performing all traditional rituals.",/news/world-asia-india-66877902,1
South Korean president to meet King in state visit,Yoon Suk Yeol has accepted an invitation from King Charles III to visit the UK.,/news/uk-66918591,1
Praise for Nazi veteran 'embarrassing' - Trudeau,A man who fought for the Waffen-SS was applauded in parliament during a visit by Ukraine's leader.,/news/world-us-canada-66919862,1
Ukraine's young lead their elders in one army unit,"For Ukrainian troops, life on the front line is far from easy, as the BBC's Mark Urban witnessed up close.",/news/world-europe-66881269,1
Who are the Republican hopefuls not named Trump?,The former president could face a stiff challenge for Republican Party's 2024 presidential nomination.,/news/world-us-canada-63550237,1
US senator vows he will be cleared in bribery case,"The Democratic senator says he kept nearly half a million dollars in cash at home for ""emergencies"".",/news/world-us-canada-66917894,0
Man charged after boy's death in Donegal crash,"A man in his 20s is due to appear in court on Tuesday morning, charged in relation to the incident.",/news/uk-northern-ireland-66888532,0
Canada parliament applauds man who fought for Nazis,The House of Commons Speaker apologises for honouring a Ukrainian who served in the Waffen-SS.,/news/world-us-canada-66908958,1
Dublin Airport: Drugs worth almost half a million euro seized,Detector dog Blue searched the baggage of a passenger off a flight from Los Angeles.,/news/articles/cl4rn8pd76lo,0
Amazon invests billions in AI taking on Microsoft,The company is in a race among big tech firms to exploit the potential of artificial intelligence.,/news/technology-66914338,1
Irish university to offer degree in influencing,The bachelors course at Southeast Technical University in Carlow is due to start in September 2024.,/news/articles/c03e8478plzo,0
US restarts supply of free at-home Covid tests,"People will be able to request four free tests per address from the government, from 25 September.",/news/world-us-canada-66917442,1
Which TV shows will return as writers' strike ends?,A tentative deal between writers and studios means some favourites could be back in production soon.,/news/world-us-canada-66914591,1
Family in 'unbearable pain' after alligator kills woman,Breauna Dorris says her mother may have been walking to or from a campsite when the animal attacked.,/news/world-us-canada-66913736,0
Philippines removes China barrier in contested sea,The Philippines says it has removed a floating barrier installed by Beijing in the South China Sea.,/news/world-asia-66913554,1
Why is violence flaring again in Kosovo?,There are fears of renewed hostilities between ethnic Serbs and Albanians in Kosovo.,/news/62382069,1
Zambia ex-leader banned from 'political' jogging,"Police tell Edgar Lungu to stop his runs alongside supporters as they amount to ""political activism"".",/news/world-africa-66909506,1
France turns to British TV show for sex education,Le Planning Familial says it is working with Netflix to promote its free sex education phone line.,/news/world-europe-66913308,0
Lethal mushroom mystery survivor leaves hospital,"Erin Patterson cooked a meal using mushrooms which killed three relatives, but one has survived.",/news/world-australia-66913549,0
Chile raises alert level as Villarrica volcano rumbles,Villarrica is one of South America's most active volcanoes and last erupted in 2015.,/news/world-latin-america-66911897,1
Thai man charged with beating his children to death,Police suspect the man also killed two more of his children from a previous marriage.,/news/world-asia-66877392,0
"Ronan Wilson, aged nine, dies in Donegal hit-and-run crash",Ronan Wilson from Kildress was killed when he was hit by a car in Bundoran on Saturday night.,/news/articles/cp3r877313go,0
France to pull troops and ambassador from Niger,France's president says the ambassador will leave and all military co-operation will end in the coming months.,/news/world-europe-66907517,1
Hopes dim as India awaits signal from Moon lander,"Scientists tell the BBC that chances of the lander's reawakening are ""dimming with each passing hour"".",/news/world-asia-india-66909524,0
Notorious Italian Mafia boss Messina Denaro dies,"The 61-year-old, who spent decades on the run, boasted that he could ""fill a cemetery"" with his victims.",/news/world-europe-66909616,1
Welsh fans ecstatic after rout of Australia,Wales fans are elated as the team hammer Australia to march into the Rugby World Cup quarter-finals.,/news/uk-wales-66907380,0
Kosovo and Serbia row over monastery gun battle,A Kosovan policeman and three ethnic Serb gunmen are dead after a siege of a monastery in Kosovo.,/news/world-europe-66908955,0
Training to clear the world's most heavily mined country,How British military bomb disposal teams are helping Ukrainian engineers clear Russian minefields.,/news/world-europe-66879485,1
The shadowy Chinese firms that own chunks of Cambodia,"Fifteen years after a deal to control a fifth of Cambodia's coastline, work has barely started.",/news/world-asia-66851049,1
British Sikhs under pressure amid Canada-India row,"Rumours swirl around the deaths of other Sikh activists, following Justin Trudeau's bombshell claim.",/news/uk-66818190,1
Electric car rules could cost carmakers billions,"New Brexit trade rules could push up the price of electric cars, manufacturers warn.",/news/business-66889029,1
Woman's body found in jaws of Florida alligator,A witness raised the alarm after seeing the large animal clutching human remains in a canal.,/news/world-us-canada-66907425,0
Kosovo monastery siege ends after heavy gun battle,One officer and three attackers are dead after the gunmen stormed a village near the Serbian border.,/news/world-europe-66905091,0
Putin opponent Kara-Murza in isolation in Siberian jail,Vladimir Kara-Murza's lawyer said conditions at Osmk penal colony threatened his client's health.,/news/world-europe-66907510,1
Man gored to death by bull at Spanish festival,Friend also injured by same animal during the Pobla de Farnals festival in the Valencia region.,/news/world-europe-66905583,0
China blamed for floating barrier in contested sea,The Philippines says the barrier prevents fishermen from entering a shoal in the South China Sea.,/news/world-asia-66905093,1
